Size,Sequential Duration (ns),Threaded Duration (ns),BLAS Duration (ns),Seq vs Thread Avg Error,Seq vs BLAS Avg Error,Thread vs BLAS Avg Error,Seq vs Thread Max Error,Seq vs BLAS Max Error,Thread vs BLAS Max Error,Seq GFLOPS,Thread GFLOPS,BLAS GFLOPS
480,9.99E+07,6.06E+07,2.48E+06,0,6.20E-10,6.20E-10,0,3.73E-09,3.73E-09,2.21378,3.64908,89.0678
490,1.05E+08,5.92E+07,2.29E+06,0,6.46E-10,6.46E-10,0,3.49E-09,3.49E-09,2.24385,3.97308,102.544
500,1.12E+08,8.11E+07,2.52E+06,0,6.72E-10,6.72E-10,0,3.73E-09,3.73E-09,2.22649,3.08197,99.3666
520,1.21E+08,1.08E+08,2.53E+06,0,6.61E-10,6.61E-10,0,4.19E-09,4.19E-09,2.32616,2.59305,111.326
540,1.37E+08,1.36E+08,2.98E+06,0,7.09E-10,7.09E-10,0,4.42E-09,4.42E-09,2.30099,2.31786,105.759
560,1.48E+08,1.50E+08,3.08E+06,0,7.52E-10,7.52E-10,0,4.42E-09,4.42E-09,2.37095,2.34703,114.221
580,1.64E+08,2.03E+08,4.28E+06,0,7.97E-10,7.97E-10,0,5.12E-09,5.12E-09,2.37878,1.92192,91.2713
600,2.32E+08,2.21E+08,4.17E+06,0,8.35E-10,8.35E-10,0,4.89E-09,4.89E-09,1.86439,1.95252,103.478
620,2.04E+08,2.26E+08,4.24E+06,0,8.76E-10,8.76E-10,0,5.12E-09,5.12E-09,2.33091,2.11122,112.489
640,2.23E+08,2.49E+08,4.48E+06,0,9.11E-10,9.11E-10,0,5.36E-09,5.36E-09,2.34755,2.10392,117.149
660,2.46E+08,2.58E+08,5.26E+06,0,9.46E-10,9.46E-10,0,6.05E-09,6.05E-09,2.33509,2.2271,109.287
680,2.73E+08,2.82E+08,5.70E+06,0,9.86E-10,9.86E-10,0,6.05E-09,6.05E-09,2.30021,2.23345,110.355
700,2.87E+08,3.01E+08,5.03E+06,0,1.03E-09,1.03E-09,0,5.82E-09,5.82E-09,2.3895,2.27931,136.479
720,3.15E+08,3.34E+08,6.83E+06,0,1.06E-09,1.06E-09,0,6.52E-09,6.52E-09,2.3714,2.23286,109.299
740,3.54E+08,3.52E+08,8.15E+06,0,1.10E-09,1.10E-09,0,7.45E-09,7.45E-09,2.29218,2.30536,99.5006
760,4.02E+08,3.99E+08,8.56E+06,0,1.14E-09,1.14E-09,0,7.22E-09,7.22E-09,2.18484,2.20134,102.604
780,4.31E+08,4.18E+08,7.15E+06,0,1.14E-09,1.14E-09,0,7.22E-09,7.22E-09,2.20399,2.26799,132.753
800,4.86E+08,4.49E+08,8.98E+06,0,1.17E-09,1.17E-09,0,7.22E-09,7.22E-09,2.10843,2.28004,114.077
820,5.25E+08,4.93E+08,1.11E+07,0,1.21E-09,1.21E-09,0,7.45E-09,7.45E-09,2.10173,2.23687,99.0206
840,5.73E+08,5.21E+08,8.39E+06,0,1.26E-09,1.26E-09,0,7.92E-09,7.92E-09,2.0675,2.27329,141.235
860,6.12E+08,5.56E+08,8.51E+06,0,1.33E-09,1.33E-09,0,9.31E-09,9.31E-09,2.07954,2.28971,149.436
880,6.79E+08,5.95E+08,1.03E+07,0,1.40E-09,1.40E-09,0,9.31E-09,9.31E-09,2.00817,2.2888,132.122
900,7.66E+08,6.36E+08,1.07E+07,0,1.49E-09,1.49E-09,0,9.31E-09,9.31E-09,1.90252,2.29083,136.348
920,8.32E+08,6.80E+08,1.09E+07,0,1.56E-09,1.56E-09,0,1.02E-08,1.02E-08,1.871,2.28882,143.041
