Size,Sequential Duration (ns),Threaded Duration (ns),BLAS Duration (ns),Seq vs Thread Avg Error,Seq vs BLAS Avg Error,Thread vs BLAS Avg Error,Seq vs Thread Max Error,Seq vs BLAS Max Error,Thread vs BLAS Max Error,Seq GFLOPS,Thread GFLOPS,BLAS GFLOPS
150,7.61E+06,2.20E+06,205375,0,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.8873309257,3.067601763,32.86670724
160,8.31E+06,3.02E+06,793167,0,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.9857656025,2.711087195,10.32821587
170,1.03E+07,3.58E+06,1133583,0,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.9559373771,2.743288143,8.668090471
180,1.43E+07,2.98E+06,184500,0,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.8181794651,3.909448538,63.2195122
190,1.54E+07,3.81E+06,214084,0,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.8934697832,3.596002089,64.07765176
200,1.72E+07,5.57E+06,224000,0,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.9281438029,2.872746487,71.42857143
210,2.04E+07,4.71E+06,314917,0,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.9071555975,3.933110368,58.81549742
220,2.51E+07,5.95E+06,331417,0,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.847371505,3.580613574,64.25741588
230,2.99E+07,6.10E+06,241208,0,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.8140049801,3.987165175,100.8838844
240,3.32E+07,8.77E+06,278333,0,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.8317877208,3.151756961,99.3342507
250,3.96E+07,7.70E+06,296250,0,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.7881628582,4.0588369,105.4852321
260,4.13E+07,1.45E+07,336292,0,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.8507775156,2.427093634,104.5282076
270,4.88E+07,1.04E+07,4.13E+05,0,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.8069841872,3.791313456,95.307499
280,5.40E+07,1.10E+07,5.11E+05,0,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.8127742551,3.997314122,85.85480323
290,6.23E+07,1.32E+07,6.60E+05,0,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.7829419268,3.706663955,73.88736486
300,6.46E+07,1.34E+07,560084,0,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.835756977,4.038012051,96.41410931
310,6.78E+07,2.75E+07,791500,0,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.8786663678,2.167800619,75.27732154
320,1.01E+08,1.83E+07,1.12E+06,0,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.6474942912,3.583797011,58.32768919
330,9.10E+07,2.09E+07,597667,0,3.62E-14,1.99E-13,0,1.99E-13,1.99E-13,7.90E-01,3.44E+00,120.2576016
340,1.01E+08,2.56E+07,8.40E+05,0,3.81E-14,2.27E-13,0,2.27E-13,2.27E-13,7.80E-01,3.07E+00,93.62274825
350,1.18E+08,2.80E+07,1.16E+06,0,3.94E-14,2.13E-13,0,2.13E-13,2.13E-13,7.28E-01,3.06E+00,73.66047461
360,1.26E+08,2.38E+07,7.86E+05,0,4.12E-14,2.42E-13,0,2.42E-13,2.42E-13,7.39E-01,3.93E+00,118.7553293
370,1.37E+08,2.69E+07,8.29E+05,0,4.24E-14,2.42E-13,0,2.42E-13,2.42E-13,7.41E-01,3.77E+00,122.2457126
380,1.33E+08,3.28E+07,7.99E+05,0,4.38E-14,2.56E-13,0,2.56E-13,2.56E-13,8.24E-01,3.34E+00,137.4089577
390,1.60E+08,2.96E+07,8.67E+06,0,4.52E-14,2.70E-13,0,2.70E-13,2.70E-13,7.42E-01,4.01E+00,13.68163349
400,1.63E+08,3.07E+07,1.09E+06,0,4.65E-14,2.70E-13,0,2.70E-13,2.70E-13,7.84E-01,4.16E+00,117.0329585
410,2.01E+08,3.62E+07,2.82E+06,0,4.79E-14,2.70E-13,0,2.70E-13,2.70E-13,6.87E-01,3.81E+00,48.85993947
420,1.86E+08,4.17E+07,1.15E+06,0,4.93E-14,2.84E-13,0,2.84E-13,2.84E-13,7.97E-01,3.56E+00,129.2797029
430,2.16E+08,3.96E+07,2.40E+06,0,5.04E-14,2.98E-13,0,2.98E-13,2.98E-13,7.35E-01,4.02E+00,66.14327952
440,2.11E+08,4.05E+07,1.61E+06,0,5.15E-14,2.70E-13,0,2.70E-13,2.70E-13,8.07E-01,4.21E+00,105.9942153
450,2.39E+08,4.80E+07,1.21E+06,0,5.27E-14,3.13E-13,0,3.13E-13,3.13E-13,7.64E-01,3.80E+00,151.1558759
460,2.53E+08,5.44E+07,1.28E+06,0,5.38E-14,3.41E-13,0,3.41E-13,3.41E-13,7.71E-01,3.58E+00,152.4397788
470,2.56E+08,5.79E+07,1.80E+06,0,5.49E-14,3.27E-13,0,3.27E-13,3.27E-13,8.11E-01,3.59E+00,115.2841463
480,3.19E+08,5.75E+07,2.10E+06,0,5.59E-14,3.41E-13,0,3.41E-13,3.41E-13,6.93E-01,3.84E+00,105.1254753
490,2.99E+08,5.94E+07,1.67E+06,0,5.73E-14,3.13E-13,0,3.13E-13,3.13E-13,7.86E-01,3.96E+00,140.4799404
500,3.06E+08,6.72E+07,8.14E+06,0,5.88E-14,3.98E-13,0,3.98E-13,3.98E-13,8.18E-01,3.72E+00,30.69713312
520,3.42E+08,6.58E+07,1.67E+06,0,6.33E-14,3.98E-13,0,3.98E-13,3.98E-13,8.22E-01,4.27E+00,168.1411061
540,3.94E+08,8.12E+07,2.08E+06,0,6.93E-14,4.26E-13,0,4.26E-13,4.26E-13,7.98E-01,3.88E+00,151.7329699
560,4.35E+08,9.06E+07,2.09E+06,0,7.62E-14,5.97E-13,0,5.97E-13,5.97E-13,8.07E-01,3.87E+00,168.3994116
580,5.17E+08,9.04E+07,2.65E+06,0,8.19E-14,5.12E-13,0,5.12E-13,5.12E-13,7.55E-01,4.32E+00,147.0577816
600,5.21E+08,1.11E+08,3.38E+06,0,8.80E-14,5.40E-13,0,5.40E-13,5.40E-13,8.28E-01,3.89E+00,127.9384
620,5.81E+08,1.14E+08,3.19E+06,0,9.33E-14,5.97E-13,0,5.97E-13,5.97E-13,8.21E-01,4.18E+00,149.3361338
640,6.88E+08,1.43E+08,3.93E+06,0,9.83E-14,6.25E-13,0,6.25E-13,6.25E-13,7.62E-01,3.67E+00,133.2568459
660,6.78E+08,1.56E+08,3.49E+06,0,9.52E-14,6.25E-13,0,6.25E-13,6.25E-13,8.48E-01,3.70E+00,164.8939129
680,7.57E+08,1.67E+08,3.78E+06,0,9.99E-14,6.54E-13,0,6.54E-13,6.54E-13,8.31E-01,3.77E+00,166.4028078
700,8.29E+08,1.64E+08,5.05E+06,0,1.05E-13,6.25E-13,0,6.25E-13,6.25E-13,8.28E-01,4.18E+00,135.8875437
720,8.78E+08,1.89E+08,1.09E+07,0,1.09E-13,6.25E-13,0,6.25E-13,6.25E-13,8.51E-01,3.96E+00,68.718879
740,9.59E+08,2.21E+08,1.08E+07,0,1.14E-13,7.11E-13,0,7.11E-13,7.11E-13,8.46E-01,3.67E+00,74.82526418
760,1.04E+09,2.03E+08,6.23E+06,0,1.18E-13,7.11E-13,0,7.11E-13,7.11E-13,8.46E-01,4.33E+00,141.0100307
780,1.10E+09,2.32E+08,6.65E+06,0,1.22E-13,7.39E-13,0,7.39E-13,7.39E-13,8.60E-01,4.10E+00,142.6214343
800,1.31E+09,2.51E+08,6.85E+06,0,1.26E-13,7.11E-13,0,7.11E-13,7.11E-13,7.84E-01,4.07E+00,149.5700154
820,1.32E+09,2.87E+08,6.74E+06,0,1.30E-13,7.39E-13,0,7.39E-13,7.39E-13,8.33E-01,3.84E+00,163.5581206
840,1.34E+09,3.04E+08,7.05E+06,0,1.34E-13,7.96E-13,0,7.96E-13,7.96E-13,8.86E-01,3.89E+00,168.2533577
860,1.59E+09,3.81E+08,8.12E+06,0,1.39E-13,8.24E-13,0,8.24E-13,8.24E-13,8.02E-01,3.34E+00,156.6584252
880,1.68E+09,3.49E+08,8.59E+06,0,1.43E-13,8.53E-13,0,8.53E-13,8.53E-13,8.14E-01,3.91E+00,158.6686651
900,1.73E+09,4.39E+08,1.49E+07,0,1.48E-13,8.81E-13,0,8.81E-13,8.81E-13,8.45E-01,3.32E+00,97.7179049
920,1.95E+09,4.07E+08,2.29E+07,0,1.52E-13,9.66E-13,0,9.66E-13,9.66E-13,7.98E-01,3.82E+00,67.99976614
940,2.08E+09,4.76E+08,9.46E+06,0,1.56E-13,9.66E-13,0,9.66E-13,9.66E-13,7.97E-01,3.49E+00,175.5388476
960,2.30E+09,4.62E+08,1.43E+07,0,1.60E-13,1.05E-12,0,1.05E-12,1.05E-12,7.69E-01,3.83E+00,123.6146833
980,2.26E+09,5.65E+08,2.09E+07,0,1.59E-13,9.09E-13,0,9.09E-13,9.09E-13,8.31E-01,3.33E+00,90.19748549
1000,2.38E+09,4.74E+08,1.34E+07,0,1.62E-13,1.02E-12,0,1.02E-12,1.02E-12,8.40E-01,4.22E+00,149.1507728
2000,2.39E+10,5.52E+09,9.66E+07,0,4.50E-13,2.96E-12,0,2.96E-12,2.96E-12,6.69E-01,2.90E+00,165.6571931
3000,1.04E+11,3.94E+10,4.10E+08,0,9.33E-13,6.14E-12,0,6.14E-12,6.14E-12,5.19E-01,1.37E+00,131.6569422
4000,314432997667,101937794917,988688792,0,1.25E-12,8.64E-12,0,8.64E-12,8.64E-12,4.07E-01,1.26E+00,129.4643987
5000,3293121355500,111403541125,1155753666,0,2.03E-12,1.50E-11,0,1.50E-11,1.50E-11,7.59E-02,2.24E+00,216.3090694
6000,934461597833,199566249500,1907257542,0,2.62E-12,1.82E-11,0,1.82E-11,1.82E-11,4.62E-01,2.16E+00,226.5032333
7000,1570770030083,602159326625,5917968000,0,3.10E-12,2.18E-11,0,2.18E-11,2.18E-11,4.37E-01,1.14E+00,115.9181665
8000,2469696466292,1030428556917,9895500083,0,3.52E-12,2.52E-11,0,2.52E-11,2.52E-11,4.15E-01,9.94E-01,103.4813796
9000,3680337577333,1624937163833,14291900041,0,4.67E-12,3.41E-11,0,3.41E-11,3.41E-11,3.96E-01,8.97E-01,102.0158269
10000,4728357962000,2445220035000,18567114542,0,5.73E-12,4.37E-11,0,4.37E-11,4.37E-11,4.23E-01,8.18E-01,107.7173298
