Size,Sequential Duration (ns),Threaded Duration (ns),BLAS Duration (ns),Seq vs Thread Avg Error,Seq vs BLAS Avg Error,Thread vs BLAS Avg Error,Seq vs Thread Max Error,Seq vs BLAS Max Error,Thread vs BLAS Max Error,Seq GFLOPS,Thread GFLOPS,BLAS GFLOPS
10,8041,1.73E+05,920375,0,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.2487252829,0.01157460994,0.002173027299
20,56833,1.63E+05,2334,0,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.2815265779,0.09790903027,6.855184233
30,185750,1.46E+05,5292,0,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.2907133244,0.369546621,10.20408163
40,386500,2.09E+05,8375,0,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.3311772316,0.6125632902,15.28358209
50,689500,1.68E+05,15209,0,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.3625815809,1.491789192,16.43763561
60,1239042,4.61E+05,30584,0,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.348656462,0.9365853659,14.1250327
70,1934000,5.38E+05,53291,0,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.354705274,1.275192487,12.87271772
80,2507208,5.24E+05,44083,0,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.4084224364,1.953419342,23.2289091
90,3160667,7.33E+05,767125,0,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.4612950368,1.990329565,1.9006029
100,3598709,6.88E+05,103208,0,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.5557548554,2.908735514,19.37834276
110,4.05E+06,8.70E+05,191709,0,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.6578321441,3.059038759,13.88562874
120,4.96E+06,1.01E+06,101500,0,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.6974128325,3.434250889,34.04926108
130,5.56E+06,1.18E+06,125125,0,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.7908627099,3.734409859,35.11688312
140,6.49E+06,1.45E+06,123000,0,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.8461735701,3.791584451,44.61788618
